time,mouse_x,mouse_y,mouse_speed_x,mouse_speed_y,neuron_0,neuron_1,neuron_2,neuron_3
1700571432.143887, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.1611001, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.177313, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.195022, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.210614, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.2271512, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.245048, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.261322, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.278805, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.295883, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.312742, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.32932, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.347147, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.364039, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.3809102, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.398016, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.414199, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.43203, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.4486122, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.465936, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.482286, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.499676, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.517133, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.5340438, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.550688, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.5673149, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.584876, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.602196, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.6186051, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.635461, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.652917, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.669257, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.686909, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.703657, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.720462, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.737518, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.7551591, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.7717602, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.788688, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.8058188, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.8221178, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.8392289, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.856708, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.873914, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.8902988, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.907939, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.9247942, 336, 342, 0, 0, 0, 0, 0, 0
1700571432.94198, 336, 341, 0, -1, 0, 0, 0, 0
1700571432.958529, 336, 340, 0, -1, 0, 0, 0, 0
1700571432.975553, 336, 339, 0, -1, 0, 0, 0, 0
1700571432.9925098, 336, 338, 0, -1, 0, 0, 0, 0
1700571433.007925, 336, 337, 0, -1, 0, 0, 0, 0
1700571433.024802, 336, 336, 0, -1, 0, 0, 0, 0
1700571433.041756, 336, 334, 0, -2, 0, 0, 0, 0
1700571433.058999, 337, 332, 1, -2, 0, 0, 0, 0
1700571433.0759602, 337, 331, 0, -1, 0, 0, 0, 0
1700571433.092746, 337, 329, 0, -2, 0, 0, 0, 0
1700571433.110646, 338, 327, 1, -2, 0, 0, 0, 0
1700571433.1275141, 338, 325, 0, -2, 0, 0, 0, 0
1700571433.144935, 339, 323, 1, -2, 0, 0, 0, 0
1700571433.161022, 339, 321, 0, -2, 0, 0, 0, 0
1700571433.177854, 340, 319, 1, -2, 0, 0, 0, 0
1700571433.194765, 340, 317, 0, -2, 0, 0, 0, 0
1700571433.213099, 341, 314, 1, -3, 0, 0, 0, 0
1700571433.230217, 341, 311, 0, -3, 0, 0, 0, 0
1700571433.246048, 342, 309, 1, -2, 0, 0, 0, 0
1700571433.263849, 342, 305, 0, -4, 0, 0, 0, 0
1700571433.281125, 343, 303, 1, -2, 0, 0, 0, 0
1700571433.2977228, 344, 300, 1, -3, 0, 0, 0, 0
1700571433.314345, 344, 297, 0, -3, 0, 0, 0, 0
1700571433.331282, 345, 294, 1, -3, 0, 0, 1, 0
1700571433.348688, 345, 290, 0, -4, 0, 0, 1, 0
1700571433.365664, 346, 287, 1, -3, 0, 0, 1, 0
1700571433.382899, 347, 279, 1, -8, 0, 0, 1, 0
1700571433.398978, 347, 274, 0, -5, 0, 0, 0, 0
1700571433.416681, 348, 269, 1, -5, 0, 0, 0, 0
1700571433.433732, 349, 264, 1, -5, 0, 0, 0, 0
1700571433.450436, 349, 259, 0, -5, 0, 0, 0, 0
1700571433.467722, 349, 253, 0, -6, 0, 0, 0, 0
1700571433.4846752, 349, 247, 0, -6, 0, 0, 0, 0
1700571433.501583, 349, 240, 0, -7, 0, 0, 0, 0
1700571433.518982, 349, 231, 0, -9, 0, 0, 0, 0
1700571433.536385, 349, 223, 0, -8, 0, 0, 0, 0
1700571433.553445, 349, 217, 0, -6, 0, 0, 0, 0
1700571433.571104, 349, 211, 0, -6, 0, 0, 0, 0
1700571433.5879931, 349, 204, 0, -7, 0, 0, 0, 0
1700571433.604488, 349, 197, 0, -7, 0, 0, 0, 0
1700571433.621378, 349, 193, 0, -4, 0, 0, 0, 0
1700571433.6382778, 349, 187, 0, -6, 0, 0, 0, 0
1700571433.65518, 349, 181, 0, -6, 0, 0, 0, 0
1700571433.672128, 349, 174, 0, -7, 0, 0, 1, 0
1700571433.689009, 348, 167, -1, -7, 0, 0, 1, 0
1700571433.7065659, 348, 162, 0, -5, 0, 0, 1, 0
1700571433.723597, 348, 158, 0, -4, 0, 0, 1, 0
1700571433.74101, 348, 154, 0, -4, 0, 0, 0, 0
1700571433.757854, 348, 151, 0, -3, 0, 0, 0, 0
1700571433.7739992, 348, 147, 0, -4, 0, 0, 0, 0
1700571433.790858, 347, 144, -1, -3, 0, 0, 0, 0
1700571433.807858, 347, 141, 0, -3, 0, 0, 0, 0
1700571433.8252292, 347, 137, 0, -4, 0, 0, 0, 0
1700571433.8420758, 346, 134, -1, -3, 0, 0, 0, 0
1700571433.859122, 346, 132, 0, -2, 0, 0, 0, 0
1700571433.876854, 346, 130, 0, -2, 0, 0, 0, 0
1700571433.893104, 346, 128, 0, -2, 0, 0, 0, 0
1700571433.909991, 346, 126, 0, -2, 0, 0, 0, 0
1700571433.925963, 346, 123, 0, -3, 0, 0, 0, 0
1700571433.943638, 345, 121, -1, -2, 0, 0, 1, 0
1700571433.9604108, 345, 119, 0, -2, 0, 0, 1, 0
1700571433.977348, 345, 117, 0, -2, 0, 0, 1, 0
1700571433.99366, 345, 116, 0, -1, 0, 0, 1, 0
1700571434.0105898, 344, 114, -1, -2, 0, 0, 0, 0
1700571434.02734, 344, 112, 0, -2, 0, 0, 0, 0
1700571434.043385, 344, 111, 0, -1, 0, 0, 0, 0
1700571434.060432, 344, 110, 0, -1, 0, 0, 0, 0
1700571434.077968, 344, 108, 0, -2, 0, 0, 0, 0
1700571434.094888, 344, 107, 0, -1, 0, 0, 0, 0
1700571434.11168, 344, 105, 0, -2, 0, 0, 0, 0
1700571434.1284852, 343, 104, -1, -1, 0, 0, 0, 0
1700571434.146518, 343, 103, 0, -1, 0, 0, 0, 0
1700571434.1641119, 343, 101, 0, -2, 0, 0, 0, 0
1700571434.180338, 343, 100, 0, -1, 0, 0, 0, 0
1700571434.1976671, 343, 99, 0, -1, 0, 0, 0, 0
1700571434.2146041, 343, 98, 0, -1, 0, 0, 0, 0
1700571434.231585, 342, 97, -1, -1, 0, 0, 0, 0
1700571434.248281, 342, 96, 0, -1, 0, 0, 0, 0
1700571434.265144, 342, 95, 0, -1, 0, 0, 0, 0
1700571434.282897, 342, 94, 0, -1, 0, 0, 0, 0
1700571434.29904, 342, 93, 0, -1, 0, 0, 0, 0
1700571434.316462, 342, 93, 0, 0, 0, 0, 0, 0
1700571434.333766, 341, 93, -1, 0, 0, 0, 0, 0
1700571434.350076, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.368255, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.384428, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.4018502, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.418447, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.435578, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.4527192, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.469223, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.4868321, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.5038238, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.520698, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.537627, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.554293, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.57142, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.588565, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.6057549, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.6228118, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.640002, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.656168, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.673554, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.690767, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.708079, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.724433, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.74177, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.758479, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.775163, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.7924852, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.809242, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.8265119, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.843862, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.8599339, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.876549, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.893673, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.910638, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.9276721, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.944085, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.961109, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.977785, 341, 93, 0, 0, 0, 0, 0, 0
1700571434.99454, 341, 93, 0, 0, 0, 0, 0, 0
1700571435.011273, 341, 93, 0, 0, 0, 0, 0, 0
1700571435.026892, 341, 93, 0, 0, 0, 0, 0, 0
1700571435.043989, 341, 93, 0, 0, 0, 0, 0, 0
1700571435.0612202, 341, 94, 0, 1, 0, 0, 0, 0
1700571435.0781472, 341, 96, 0, 2, 0, 0, 0, 0
1700571435.0944781, 341, 98, 0, 2, 0, 0, 0, 0
1700571435.111903, 340, 101, -1, 3, 0, 0, 0, 0
1700571435.128671, 339, 105, -1, 4, 0, 0, 0, 0
1700571435.1460118, 339, 110, 0, 5, 0, 0, 0, 0
1700571435.1632829, 338, 116, -1, 6, 0, 0, 0, 1
1700571435.179472, 338, 121, 0, 5, 0, 0, 0, 1
1700571435.196695, 338, 123, 0, 2, 0, 0, 0, 1
1700571435.213527, 337, 130, -1, 7, 0, 0, 0, 1
1700571435.230926, 336, 133, -1, 3, 0, 0, 0, 0
1700571435.246881, 336, 138, 0, 5, 0, 0, 0, 0
1700571435.265155, 336, 142, 0, 4, 0, 0, 0, 0
1700571435.28197, 335, 147, -1, 5, 0, 0, 0, 0
1700571435.298181, 335, 152, 0, 5, 0, 0, 0, 1
1700571435.3151329, 334, 158, -1, 6, 0, 0, 0, 1
1700571435.331009, 334, 162, 0, 4, 0, 0, 0, 1
1700571435.3481312, 334, 166, 0, 4, 0, 0, 0, 1
1700571435.364616, 334, 171, 0, 5, 0, 0, 0, 0
1700571435.381675, 333, 179, -1, 8, 0, 0, 0, 0
1700571435.398813, 333, 184, 0, 5, 0, 0, 0, 0
1700571435.414925, 332, 191, -1, 7, 0, 0, 0, 0
1700571435.431982, 332, 198, 0, 7, 0, 0, 0, 0
1700571435.448905, 331, 205, -1, 7, 0, 0, 0, 0
1700571435.466465, 331, 210, 0, 5, 0, 0, 0, 0
1700571435.483134, 331, 216, 0, 6, 0, 0, 0, 0
1700571435.500891, 330, 227, -1, 11, 0, 1, 0, 1
1700571435.517528, 330, 234, 0, 7, 0, 1, 0, 1
1700571435.535129, 330, 242, 0, 8, 0, 1, 0, 1
1700571435.551126, 330, 249, 0, 7, 0, 1, 0, 1
1700571435.568842, 329, 257, -1, 8, 0, 0, 0, 1
1700571435.58533, 329, 264, 0, 7, 0, 0, 0, 1
